epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,285.129,1.44793,1.4699,1.27044,0.89362,0.85614,0.91749,0.53857,1.40852,0.82986,1.18314,0.000555064,0.000555064,0.000555064
2,563.014,1.3768,0.94999,1.24675,0.90168,0.871,0.92965,0.54437,1.44382,0.74111,1.21047,0.00100077,0.00100077,0.00100077
3,831.976,1.34878,0.85264,1.23587,0.90916,0.88585,0.93296,0.54675,1.38886,0.72892,1.18451,0.00133645,0.00133645,0.00133645
4,1097.11,1.31313,0.79303,1.2194,0.92835,0.89246,0.94675,0.6015,1.27203,0.64296,1.15229,0.0011719,0.0011719,0.0011719
5,1367.92,1.27403,0.72889,1.19939,0.92456,0.90636,0.9522,0.62792,1.19819,0.62144,1.12619,0.00100687,0.00100687,0.00100687
6,1633.44,1.25019,0.68772,1.18101,0.93395,0.90801,0.95802,0.62318,1.22823,0.5769,1.12063,0.000841835,0.000841835,0.000841835
7,1899.25,1.22222,0.65185,1.16424,0.93358,0.91529,0.96037,0.62862,1.23666,0.57598,1.12608,0.000676802,0.000676802,0.000676802
8,2164.68,1.19471,0.61611,1.14901,0.93649,0.91678,0.96186,0.64513,1.18373,0.5451,1.10305,0.000511769,0.000511769,0.000511769
9,2430.23,1.16821,0.58161,1.13534,0.93617,0.92681,0.96428,0.66122,1.14642,0.51787,1.0887,0.000346736,0.000346736,0.000346736
10,2694.88,1.14348,0.55569,1.11996,0.94032,0.92418,0.96556,0.66222,1.14762,0.49972,1.08151,0.000181703,0.000181703,0.000181703
